Ratio,GaussianRatioBeta,AR1RatioBeta,GaussianRatioTrace,AR1RatioTrace,Gaussian_P05,Gaussian_P20,Gaussian_P35,Gaussian_P50,Gaussian_P65,Gaussian_P80,Gaussian_P95,Gaussian_Prob_Lt_1.00,Gaussian_Prob_Lt_3.16,Gaussian_Prob_Lt_10.00,Gaussian_Prob_Lt_31.62,Gaussian_Prob_Lt_100.00,AR1_P05,AR1_P20,AR1_P35,AR1_P50,AR1_P65,AR1_P80,AR1_P95,AR1_Prob_Lt_1.00,AR1_Prob_Lt_3.16,AR1_Prob_Lt_10.00,AR1_Prob_Lt_31.62,AR1_Prob_Lt_100.00
0.616723,0.203146,0.001690,0.004534,0.000237,2.924547,3.853111,4.740587,5.707274,6.739725,8.316128,12.276490,0.000000,0.079000,0.891000,0.998000,1.000000,7.196422,9.969536,12.537782,14.930502,17.987666,23.391380,36.699835,0.000000,0.000000,0.203000,0.904000,0.999000
0.619572,0.204085,0.001698,0.004555,0.000238,2.924547,3.853111,4.740587,5.707274,6.739725,8.316128,12.276490,0.000000,0.079000,0.891000,0.998000,1.000000,7.196422,9.969536,12.537782,14.930502,17.987666,23.391380,36.699835,0.000000,0.000000,0.203000,0.904000,0.999000
0.622435,0.205028,0.001705,0.004576,0.000239,2.924547,3.853111,4.740587,5.707274,6.739725,8.316128,12.276490,0.000000,0.079000,0.891000,0.998000,1.000000,7.196422,9.969536,12.537782,14.930502,17.987666,23.391380,36.699835,0.000000,0.000000,0.203000,0.904000,0.999000
0.625311,0.205975,0.001713,0.004598,0.000240,3.039533,3.938298,4.873866,5.823901,6.904372,8.528436,12.683055,0.000000,0.064000,0.882000,0.998000,1.000000,7.540135,10.203531,12.854421,15.415402,18.770863,23.991485,37.455560,0.000000,0.000000,0.185000,0.892000,0.999000
0.628200,0.206927,0.001721,0.004619,0.000242,3.039533,3.938298,4.873866,5.823901,6.904372,8.528436,12.683055,0.000000,0.064000,0.882000,0.998000,1.000000,7.540135,10.203531,12.854421,15.415402,18.770863,23.991485,37.455560,0.000000,0.000000,0.185000,0.892000,0.999000
0.631103,0.207883,0.001729,0.004640,0.000243,3.039533,3.938298,4.873866,5.823901,6.904372,8.528436,12.683055,0.000000,0.064000,0.882000,0.998000,1.000000,7.540135,10.203531,12.854421,15.415402,18.770863,23.991485,37.455560,0.000000,0.000000,0.185000,0.892000,0.999000
0.634019,0.208844,0.001737,0.004662,0.000244,3.110844,4.040898,4.951186,6.019359,7.050093,8.752715,13.005201,0.000000,0.058000,0.876000,0.998000,1.000000,7.815051,10.607697,13.282373,15.968727,19.462515,24.918768,39.712625,0.000000,0.000000,0.170000,0.881000,0.998000
0.636948,0.209809,0.001745,0.004683,0.000245,3.110844,4.040898,4.951186,6.019359,7.050093,8.752715,13.005201,0.000000,0.058000,0.876000,0.998000,1.000000,7.815051,10.607697,13.282373,15.968727,19.462515,24.918768,39.712625,0.000000,0.000000,0.170000,0.881000,0.998000
0.639891,0.210778,0.001753,0.004705,0.000246,3.110844,4.040898,4.951186,6.019359,7.050093,8.752715,13.005201,0.000000,0.058000,0.876000,0.998000,1.000000,7.815051,10.607697,13.282373,15.968727,19.462515,24.918768,39.712625,0.000000,0.000000,0.170000,0.881000,0.998000
0.642848,0.211752,0.001761,0.004727,0.000247,3.151420,4.154235,5.076189,6.165087,7.189789,8.929459,13.080812,0.000000,0.051000,0.870000,0.997000,1.000000,8.031763,11.027314,13.550772,16.530757,19.999156,25.639060,40.556766,0.000000,0.000000,0.148000,0.873000,0.998000
0.645818,0.212730,0.001770,0.004748,0.000248,3.151420,4.154235,5.076189,6.165087,7.189789,8.929459,13.080812,0.000000,0.051000,0.870000,0.997000,1.000000,8.031763,11.027314,13.550772,16.530757,19.999156,25.639060,40.556766,0.000000,0.000000,0.148000,0.873000,0.998000
0.648802,0.213713,0.001778,0.004770,0.000249,3.229368,4.239925,5.213228,6.303729,7.363050,9.138169,13.264879,0.000000,0.045000,0.857000,0.997000,1.000000,8.455993,11.452447,14.082548,17.045042,20.741796,26.521321,43.396771,0.000000,0.000000,0.130000,0.861000,0.998000
0.651800,0.214701,0.001786,0.004792,0.000251,3.229368,4.239925,5.213228,6.303729,7.363050,9.138169,13.264879,0.000000,0.045000,0.857000,0.997000,1.000000,8.455993,11.452447,14.082548,17.045042,20.741796,26.521321,43.396771,0.000000,0.000000,0.130000,0.861000,0.998000
0.654811,0.215693,0.001794,0.004815,0.000252,3.229368,4.239925,5.213228,6.303729,7.363050,9.138169,13.264879,0.000000,0.045000,0.857000,0.997000,1.000000,8.455993,11.452447,14.082548,17.045042,20.741796,26.521321,43.396771,0.000000,0.000000,0.130000,0.861000,0.998000
0.657837,0.216689,0.001802,0.004837,0.000253,3.281447,4.333867,5.277661,6.455223,7.504882,9.306359,13.535510,0.000000,0.037000,0.842000,0.997000,1.000000,8.785711,11.725217,14.742490,17.558513,21.443131,27.183434,44.405306,0.000000,0.000000,0.110000,0.856000,0.997000
0.660876,0.217690,0.001811,0.004859,0.000254,3.281447,4.333867,5.277661,6.455223,7.504882,9.306359,13.535510,0.000000,0.037000,0.842000,0.997000,1.000000,8.785711,11.725217,14.742490,17.558513,21.443131,27.183434,44.405306,0.000000,0.000000,0.110000,0.856000,0.997000
0.663930,0.218696,0.001819,0.004882,0.000255,3.281447,4.333867,5.277661,6.455223,7.504882,9.306359,13.535510,0.000000,0.037000,0.842000,0.997000,1.000000,8.785711,11.725217,14.742490,17.558513,21.443131,27.183434,44.405306,0.000000,0.000000,0.110000,0.856000,0.997000
0.666997,0.219707,0.001828,0.004904,0.000256,3.402943,4.468557,5.406057,6.558865,7.636923,9.570172,13.784751,0.000000,0.030000,0.834000,0.997000,1.000000,8.967286,12.097706,15.169062,18.178959,22.215785,28.751685,45.871227,0.000000,0.000000,0.097000,0.838000,0.997000
0.670079,0.220722,0.001836,0.004927,0.000258,3.402943,4.468557,5.406057,6.558865,7.636923,9.570172,13.784751,0.000000,0.030000,0.834000,0.997000,1.000000,8.967286,12.097706,15.169062,18.178959,22.215785,28.751685,45.871227,0.000000,0.000000,0.097000,0.838000,0.997000
0.673175,0.221742,0.001844,0.004950,0.000259,3.464672,4.511118,5.585675,6.661322,7.839861,9.732725,13.963511,0.000000,0.027000,0.816000,0.997000,1.000000,9.214422,12.722774,15.603638,18.781071,23.021347,29.984644,48.801176,0.000000,0.000000,0.084000,0.820000,0.997000
0.676286,0.222766,0.001853,0.004972,0.000260,3.464672,4.511118,5.585675,6.661322,7.839861,9.732725,13.963511,0.000000,0.027000,0.816000,0.997000,1.000000,9.214422,12.722774,15.603638,18.781071,23.021347,29.984644,48.801176,0.000000,0.000000,0.084000,0.820000,0.997000
0.679410,0.223796,0.001862,0.004995,0.000261,3.464672,4.511118,5.585675,6.661322,7.839861,9.732725,13.963511,0.000000,0.027000,0.816000,0.997000,1.000000,9.214422,12.722774,15.603638,18.781071,23.021347,29.984644,48.801176,0.000000,0.000000,0.084000,0.820000,0.997000
0.682549,0.224830,0.001870,0.005018,0.000262,3.528027,4.681865,5.748407,6.830532,7.991271,9.960268,14.319638,0.000000,0.020000,0.804000,0.996000,1.000000,9.573987,13.275449,16.189041,19.750159,23.813937,31.080392,50.389574,0.000000,0.000000,0.066000,0.807000,0.996000
0.685703,0.225868,0.001879,0.005042,0.000264,3.528027,4.681865,5.748407,6.830532,7.991271,9.960268,14.319638,0.000000,0.020000,0.804000,0.996000,1.000000,9.573987,13.275449,16.189041,19.750159,23.813937,31.080392,50.389574,0.000000,0.000000,0.066000,0.807000,0.996000
0.688871,0.226912,0.001887,0.005065,0.000265,3.607351,4.858022,5.920060,7.007782,8.206392,10.071699,14.694103,0.000000,0.014000,0.796000,0.996000,1.000000,9.953807,13.716483,16.773561,20.406183,24.954352,32.376636,51.965078,0.000000,0.000000,0.053000,0.787000,0.996000
0.692054,0.227960,0.001896,0.005088,0.000266,3.607351,4.858022,5.920060,7.007782,8.206392,10.071699,14.694103,0.000000,0.014000,0.796000,0.996000,1.000000,9.953807,13.716483,16.773561,20.406183,24.954352,32.376636,51.965078,0.000000,0.000000,0.053000,0.787000,0.996000
0.695252,0.229014,0.001905,0.005112,0.000267,3.607351,4.858022,5.920060,7.007782,8.206392,10.071699,14.694103,0.000000,0.014000,0.796000,0.996000,1.000000,9.953807,13.716483,16.773561,20.406183,24.954352,32.376636,51.965078,0.000000,0.000000,0.053000,0.787000,0.996000
0.698464,0.230072,0.001914,0.005135,0.000269,3.697444,4.979567,6.055268,7.135645,8.387619,10.308439,14.936279,0.000000,0.013000,0.783000,0.996000,1.000000,10.257210,14.182141,17.492115,21.213791,25.758287,33.261678,54.060921,0.000000,0.000000,0.044000,0.770000,0.996000
0.701691,0.231135,0.001923,0.005159,0.000270,3.697444,4.979567,6.055268,7.135645,8.387619,10.308439,14.936279,0.000000,0.013000,0.783000,0.996000,1.000000,10.257210,14.182141,17.492115,21.213791,25.758287,33.261678,54.060921,0.000000,0.000000,0.044000,0.770000,0.996000
0.704933,0.232203,0.001931,0.005183,0.000271,3.813650,5.102021,6.203466,7.314046,8.604104,10.643669,15.231043,0.000000,0.011000,0.764000,0.996000,1.000000,10.786600,14.796227,18.067921,21.931411,26.833181,34.154889,54.818849,0.000000,0.000000,0.035000,0.744000,0.995000
